seed,team,conference,wins,losses,year
12,Wyoming,Mountain West,25,9,2015
13,UC Irvine,Big West,21,12,2015
14,Albany,America East,24,8,2015
15,Belmont,Ohio Valley,22,10,2015
16,Lafayette,Patriot,20,12,2015
1,Duke,ACC,29,4,2015
2,Gonzaga,West Coast,32,2,2015
3,Iowa State,Big 12,25,8,2015
4,Georgetown,Big East,21,10,2015
5,Utah,Pac-12,24,8,2015
6,SMU,American,27,6,2015
7,Iowa,Big Ten,21,11,2015
8,San Diego State,Mountain West,26,8,2015
9,St. John's,Big East,21,11,2015
10,Davidson,Atlantic 10,24,7,2015
11,UCLA,Pac-12,20,13,2015
12,Stephen F. Austin,Southland,29,4,2015
13,Eastern Washington,Big Sky,26,8,2015
14,UAB,C-USA,19,15,2015
15,North Dakota State,Summit,23,9,2015
16,North Florida,Atlantic Sun,23,11,2015
1,Kansas,Big 12,30,4,2016
2,Villanova,Big East,29,5,2016
3,Miami,ACC,25,7,2016
4,California,Pac-12,23,10,2016
5,Maryland,Big Ten,25,8,2016
6,Arizona,Pac-12,25,8,2016
7,Iowa,Big Ten,21,10,2016
8,Colorado,Pac-12,22,11,2016
9,UConn,American,24,10,2016
10,Temple,American,21,11,2016
11,Vanderbilt,SEC,19,13,2016
12,South Dakota State,Summit League,26,7,2016
13,Hawaii,Big West,27,5,2016
14,Buffalo,MAC,20,14,2016
15,UNC Asheville,Big South,22,11,2016
16,Austin Peay,Ohio Valley,18,17,2016
1,Oregon,Pac-12,28,6,2016
2,Oklahoma,Big 12,25,7,2016
3,Texas A&M,SEC,26,8,2016
4,Duke,ACC,23,10,2016
5,Baylor,Big 12,22,11,2016
6,Texas,Big 12,20,12,2016
7,Oregon State,Pac-12,19,12,2016
8,Saint Joseph's,Atlantic 10,27,7,2016
9,Cincinnati,American,22,10,2016
10,VCU,Atlantic 10,24,10,2016
11,Northern Iowa,Missouri Valley,22,12,2016
12,Yale,Ivy League,22,6,2016
13,UNC Wilmington,CAA,25,7,2016
14,Green Bay,Horizon,23,12,2016
15,Cal State Bakersfield,WAC,24,8,2016
16,Holy Cross,Patriot,14,19,2016
1,North Carolina,ACC,28,6,2016
2,Xavier,Big East,27,5,2016
3,West Virginia,Big 12,26,8,2016
4,Kentucky,SEC,26,8,2016
5,Indiana,Big Ten,25,7,2016
6,Notre Dame,ACC,21,11,2016
7,Wisconsin,Big Ten,20,12,2016
8,USC,Pac-12,21,12,2016
9,Providence,Big East,23,10,2016
10,Pittsburgh,ACC,21,11,2016
11,Michigan,Big Ten,22,12,2016
12,Chattanooga,Southern,29,5,2016
13,Stony Brook,America East,26,6,2016
14,Stephen F. Austin,Southland,27,5,2016
15,Weber State,Big Sky,26,8,2016
16,Florida Gulf Coast,Atlantic Sun,20,13,2016
1,Virginia,ACC,26,7,2016
2,Michigan State,Big Ten,29,5,2016
3,Utah,Pac-12,26,8,2016
4,Iowa State,Big 12,21,11,2016
5,Purdue,Big Ten,26,8,2016
6,Seton Hall,Big East,25,8,2016
7,Dayton,Atlantic 10,25,7,2016
8,Texas Tech,Big 12,19,12,2016
9,Butler,Big East,21,10,2016
10,Syracuse,ACC,19,13,2016
11,Gonzaga,WCC,26,7,2016
12,Little Rock,Sun Belt,29,4,2016
13,Iona,MAAC,22,10,2016
14,Fresno State,Mountain West,25,9,2016
15,Middle Tennessee,C-USA,24,9,2016
16,Hampton,MEAC,21,10,2016
1,Villanova,Big East,31,3,2017
2,Duke,ACC,27,8,2017
3,Baylor,Big 12,25,7,2017
4,Florida,SEC,24,8,2017
5,Virginia,ACC,22,10,2017
6,SMU,American,30,4,2017
7,South Carolina,SEC,22,10,2017
8,Wisconsin,Big Ten,25,9,2017
9,Virginia Tech,ACC,22,10,2017
10,Marquette,Big East,19,12,2017
11,Providence,Big East,20,12,2017
12,UNC Wilmington,CAA,29,5,2017
13,East Tennessee State,Southern,27,7,2017
14,New Mexico State,WAC,28,5,2017
15,Troy,Sun Belt,22,14,2017
16,Mount St. Mary's,NEC,19,15,2017
1,Gonzaga,WCC,32,1,2017
2,Arizona,Pac-12,30,4,2017
3,Florida State,ACC,25,8,2017
4,West Virginia,Big 12,26,8,2017
5,Notre Dame,ACC,25,9,2017
6,Maryland,Big Ten,24,8,2017
7,Saint Mary's,WCC,28,4,2017
8,Northwestern,Big Ten,23,11,2017
9,Vanderbilt,SEC,19,15,2017
10,VCU,Atlantic 10,26,8,2017
11,Xavier,Big East,21,13,2017
12,Princeton,Ivy League,23,6,2017
13,Bucknell,Patriot,26,8,2017
14,Florida Gulf Coast,Atlantic Sun,26,7,2017
15,North Dakota,Big Sky,22,9,2017
16,South Dakota State,Summit League,18,16,2017
1,Kansas,Big 12,28,4,2017
2,Louisville,ACC,24,8,2017
3,Oregon,Pac-12,29,5,2017
4,Purdue,Big Ten,25,7,2017
5,Iowa State,Big 12,23,10,2017
6,Creighton,Big East,25,9,2017
7,Michigan,Big Ten,24,11,2017
8,Miami (FL),ACC,21,11,2017
9,Michigan State,Big Ten,19,14,2017
10,Oklahoma State,Big 12,20,12,2017
11,Rhode Island,Atlantic 10,24,9,2017
12,Nevada,Mountain West,28,6,2017
13,Vermont,America East,29,5,2017
14,Iona,MAAC,22,12,2017
15,Jacksonville State,Ohio Valley,20,14,2017
16,North Carolina Central,MEAC,25,8,2017
1,North Carolina,ACC,27,7,2017
2,Kentucky,SEC,29,5,2017
3,UCLA,Pac-12,29,4,2017
4,Butler,Big East,23,8,2017
5,Minnesota,Big Ten,24,9,2017
6,Cincinnati,American,29,5,2017
7,Dayton,Atlantic 10,24,7,2017
8,Arkansas,SEC,25,9,2017
9,Seton Hall,Big East,21,11,2017
10,Wichita State,Missouri Valley,30,4,2017
11,Kansas State,Big 12,20,13,2017
12,Middle Tennessee,Conference USA,30,4,2017
13,Winthrop,Big South,26,6,2017
14,Kent State,MAC,22,13,2017
15,Northern Kentucky,Horizon,24,10,2017
16,Texas Southern,SWAC,23,11,2017
1,Virginia,ACC,31,2,2018
2,Cincinnati,American,30,4,2018
3,Tennessee,SEC,25,8,2018
4,Arizona,Pac-12,27,7,2018
5,Kentucky,SEC,24,10,2018
6,Miami (FL),ACC,22,9,2018
7,Nevada,Mountain West,27,7,2018
8,Creighton,Big East,21,11,2018
9,Kansas State,Big 12,22,11,2018
10,Texas,Big 12,19,14,2018
11,Loyola–Chicago,Missouri Valley,28,5,2018
12,Davidson,Atlantic 10,21,11,2018
13,Buffalo,MAC,26,8,2018
14,Wright State,Horizon,25,9,2018
15,Georgia State,Sun Belt,24,10,2018
16,UMBC,America East,24,10,2018
1,Xavier,Big East,28,5,2018
2,North Carolina,ACC,25,10,2018
3,Michigan,Big Ten,28,7,2018
4,Gonzaga,WCC,30,4,2018
5,Ohio State,Big Ten,24,8,2018
6,Houston,American,26,7,2018
7,Texas A&M,SEC,20,12,2018
8,Missouri,SEC,20,12,2018
9,Florida State,ACC,20,11,2018
10,Providence,Big East,21,13,2018
11,San Diego State,Mountain West,22,10,2018
12,South Dakota State,Summit League,28,6,2018
13,UNC Greensboro,Southern,27,7,2018
14,Montana,Big Sky,26,7,2018
15,Lipscomb,Atlantic Sun,23,9,2018
16,North Carolina Central,MEAC,19,15,2018
1,Villanova,Big East,30,4,2018
2,Purdue,Big Ten,28,6,2018
3,Texas Tech,Big 12,24,9,2018
4,Wichita State,American,25,7,2018
5,West Virginia,Big 12,24,10,2018
6,Florida,SEC,20,12,2018
7,Arkansas,SEC,23,11,2018
8,Virginia Tech,ACC,21,11,2018
9,Alabama,SEC,19,15,2018
10,Butler,Big East,20,13,2018
11,St. Bonaventure,Atlantic 10,25,7,2018
12,Murray State,Ohio Valley,26,5,2018
13,Marshall,Conference USA,24,10,2018
14,Stephen F. Austin,Southland,28,6,2018
15,Cal State Fullerton,Big West,20,11,2018
16,LIU Brooklyn,NEC,18,16,2018
1,Kansas,Big 12,27,7,2018
2,Duke,ACC,26,7,2018
3,Michigan State,Big Ten,29,4,2018
4,Auburn,SEC,25,7,2018
5,Clemson,ACC,23,9,2018
6,TCU,Big 12,21,11,2018
7,Rhode Island,Atlantic 10,25,7,2018
8,Seton Hall,Big East,21,11,2018
9,NC State,ACC,21,11,2018
10,Oklahoma,Big 12,18,13,2018
11,Arizona State,Pac-12,20,11,2018
12,New Mexico State,WAC,28,5,2018
13,College of Charleston,CAA,26,7,2018
14,Bucknell,Patriot,25,9,2018
15,Iona,MAAC,20,13,2018
16,Penn,Ivy League,24,8,2018
1,Duke,ACC,29,5,2019
2,Michigan State,Big Ten,28,6,2019
3,LSU,SEC,26,6,2019
4,Virginia Tech,ACC,24,8,2019
5,Mississippi State,SEC,23,10,2019
6,Maryland,Big Ten,22,10,2019
7,Louisville,ACC,20,13,2019
8,VCU,Atlantic 10,25,7,2019
9,UCF,American,23,8,2019
10,Minnesota,Big Ten,21,13,2019
11,Temple,American,23,9,2019
12,Liberty,ASUN,28,6,2019
13,Saint Louis,Atlantic 10,23,12,2019
14,Yale,Ivy,22,7,2019
15,Bradley,Missouri Valley,20,14,2019
16,North Carolina Central,MEAC,18,15,2019
1,Gonzaga,West Coast,30,3,2019
2,Michigan,Big Ten,28,6,2019
3,Texas Tech,Big 12,26,6,2019
4,Florida State,ACC,27,7,2019
5,Marquette,Big East,24,9,2019
6,Buffalo,MAC,31,3,2019
7,Nevada,Mountain West,29,4,2019
8,Syracuse,ACC,20,13,2019
9,Baylor,Big 12,19,13,2019
10,Florida,SEC,19,15,2019
11,Arizona State,Pac-12,22,10,2019
12,Murray State,Ohio Valley,27,4,2019
13,Vermont,America East,27,6,2019
14,Northern Kentucky,Horizon,26,8,2019
15,Montana,Big Sky,26,8,2019
16,Fairleigh Dickinson,Northeast,20,13,2019
1,Virginia,ACC,29,3,2019
2,Tennessee,SEC,29,5,2019
3,Purdue,Big Ten,23,9,2019
4,Kansas State,Big 12,25,8,2019
5,Wisconsin,Big Ten,23,10,2019
6,Villanova,Big East,25,9,2019
7,Cincinnati,American,28,6,2019
8,Ole Miss,SEC,20,12,2019
9,Oklahoma,Big 12,19,13,2019
10,Iowa,Big Ten,22,11,2019
11,Saint Mary's,West Coast,22,11,2019
12,Oregon,Pac-12,23,12,2019
13,UC Irvine,Big West,30,5,2019
14,Old Dominion,C-USA,26,8,2019
15,Colgate,Patriot,24,10,2019
16,Gardner–Webb,Big South,23,11,2019
1,North Carolina,ACC,27,6,2019
2,Kentucky,SEC,27,6,2019
3,Houston,American,31,3,2019
4,Kansas,Big 12,25,9,2019
5,Auburn,SEC,26,9,2019
6,Iowa State,Big 12,23,11,2019
7,Wofford,Southern,29,4,2019
8,Utah State,Mountain West,28,6,2019
9,Washington,Pac-12,26,8,2019
10,Seton Hall,Big East,20,13,2019
11,Ohio State,Big Ten,19,14,2019
12,New Mexico State,WAC,30,4,2019
13,Northeastern,CAA,23,10,2019
14,Georgia State,Sun Belt,24,9,2019
15,Abilene Christian,Southland,27,6,2019
16,Iona,MAAC,17,15,2019
1,Gonzaga,West Coast,26,0,2021
2,Iowa,Big Ten,21,8,2021
3,Kansas,Big 12,20,8,2021
4,Virginia,ACC,18,6,2021
5,Creighton,Big East,20,8,2021
6,USC,Pac-12,22,7,2021
7,Oregon,Pac-12,20,6,2021
8,Oklahoma,Big 12,15,10,2021
9,Missouri,SEC,16,9,2021
10,VCU,Atlantic 10,19,7,2021
11,Wichita State,American,16,5,2021
12,UC Santa Barbara,Big West,22,4,2021
13,Ohio,MAC,16,7,2021
14,Eastern Washington,Big Sky,16,7,2021
15,Grand Canyon,WAC,17,6,2021
16,Norfolk State,MEAC,16,7,2021
1,Michigan,Big Ten,20,4,2021
2,Alabama,SEC,24,6,2021
3,Texas,Big 12,19,7,2021
4,Florida State,ACC,16,6,2021
5,Colorado,Pac-12,22,8,2021
6,BYU,West Coast,20,6,2021
7,UConn,Big East,15,7,2021
8,LSU,SEC,18,9,2021
9,St. Bonaventure,Atlantic 10,16,4,2021
10,Maryland,Big Ten,16,13,2021
11,Michigan State,Big Ten,15,12,2021
12,Georgetown,Big East,13,12,2021
13,UNC Greensboro,Southern,21,8,2021
14,Abilene Christian,Southland,23,4,2021
15,Iona,MAAC,12,5,2021
16,Mount St. Mary's,Northeast,12,10,2021
1,Baylor,Big 12,22,2,2021
2,Ohio State,Big Ten,21,9,2021
3,Arkansas,SEC,22,6,2021
4,Purdue,Big Ten,18,9,2021
5,Villanova,Big East,16,6,2021
6,Texas Tech,Big 12,17,10,2021
7,Florida,SEC,14,9,2021
8,North Carolina,ACC,18,10,2021
9,Wisconsin,Big Ten,17,12,2021
10,Virginia Tech,ACC,15,6,2021
11,Utah State,Mountain West,20,8,2021
12,Winthrop,Big South,23,1,2021
13,North Texas,C-USA,17,9,2021
14,Colgate,Patriot,14,1,2021
15,Oral Roberts,Summit,16,10,2021
16,Hartford,America East,15,8,2021
1,Illinois,Big Ten,23,6,2021
2,Houston,American,24,3,2021
3,West Virginia,Big 12,18,9,2021
4,Oklahoma State,Big 12,20,8,2021
5,Tennessee,SEC,18,8,2021
6,San Diego State,Mountain West,23,4,2021
7,Clemson,ACC,16,7,2021
8,Loyola Chicago,Missouri Valley,24,4,2021
9,Georgia Tech,ACC,17,8,2021
10,Rutgers,Big Ten,15,11,2021
11,Syracuse,ACC,16,9,2021
12,Oregon State,Pac-12,17,12,2021
13,Liberty,Atlantic Sun,23,5,2021
14,Morehead State,Ohio Valley,23,7,2021
15,Cleveland State,Horizon,19,7,2021
16,Drexel,Colonial,12,7,2021
1,Gonzaga,West Coast,26,3,2022
2,Duke,ACC,28,6,2022
3,Texas Tech,Big 12,25,9,2022
4,Arkansas,SEC,25,8,2022
5,UConn,Big East,23,9,2022
6,Alabama,SEC,19,13,2022
7,Michigan State,Big Ten,22,12,2022
8,Boise State,Mountain West,27,7,2022
9,Memphis,American,21,10,2022
10,Davidson,Atlantic 10,27,6,2022
11,Rutgers,Big Ten,18,13,2022
12,New Mexico State,WAC,26,6,2022
13,Vermont,America East,28,5,2022
14,Montana State,Big Sky,27,7,2022
15,Cal State Fullerton,Big West,21,10,2022
16,Georgia State,Sun Belt,18,10,2022
1,Baylor,Big 12,26,6,2022
2,Kentucky,SEC,26,7,2022
3,Purdue,Big Ten,27,7,2022
4,UCLA,Pac–12,25,7,2022
5,Saint Mary's,West Coast,25,7,2022
6,Texas,Big 12,21,11,2022
7,Murray State,Ohio Valley,30,2,2022
8,North Carolina,ACC,24,9,2022
9,Marquette,Big East,19,12,2022
10,San Francisco,West Coast,24,9,2022
11,Virginia Tech,ACC,23,12,2022
12,Wyoming,Mountain West,25,8,2022
13,Akron,MAC,24,9,2022
14,Yale,Ivy,19,11,2022
15,Saint Peter's,MAAC,19,11,2022
16,Norfolk State,MEAC,24,6,2022
1,Arizona,Pac–12,31,3,2022
2,Villanova,Big East,26,7,2022
3,Tennessee,SEC,26,7,2022
4,Illinois,Big Ten,22,9,2022
5,Houston,American,29,5,2022
6,Colorado State,Mountain West,25,5,2022
7,Ohio State,Big Ten,19,11,2022
8,Seton Hall,Big East,21,10,2022
9,TCU,Big 12,20,12,2022
10,Loyola Chicago,Missouri Valley,25,7,2022
11,Michigan,Big Ten,17,14,2022
12,UAB,C-USA,27,7,2022
13,Chattanooga,Southern,27,7,2022
14,Longwood,Big South,26,6,2022
15,Delaware,Colonial,22,12,2022
16,Wright State,Horizon,21,13,2022
1,Kansas,Big 12,28,6,2022
2,Auburn,SEC,27,5,2022
3,Wisconsin,Big Ten,24,7,2022
4,Providence,Big East,25,5,2022
5,Iowa,Big Ten,26,9,2022
6,LSU,SEC,22,11,2022
7,USC,Pac–12,26,7,2022
8,San Diego State,Mountain West,23,8,2022
9,Creighton,Big East,22,11,2022
10,Miami (FL),ACC,23,10,2022
11,Iowa State,Big 12,20,12,2022
12,Richmond,Atlantic 10,23,12,2022
13,South Dakota State,Summit,30,4,2022
14,Colgate,Patriot,23,11,2022
15,Jacksonville State,ASUN,21,10,2022
16,Texas Southern,SWAC,18,12,2022
1,Alabama,SEC,29,5,2023
2,Arizona,Pac–12,28,6,2023
3,Baylor,Big 12,22,10,2023
4,Virginia,ACC,25,7,2023
5,San Diego State,Mountain West,27,6,2023
6,Creighton,Big East,21,12,2023
7,Missouri,SEC,24,9,2023
8,Maryland,Big Ten,21,12,2023
9,West Virginia,Big 12,19,14,2023
10,Utah State,Mountain West,26,8,2023
11,North Carolina State,ACC,23,10,2023
12,Charleston,Colonial,31,3,2023
13,Furman,Southern,27,7,2023
14,UC Santa Barbara,Big West,27,7,2023
15,Princeton,Ivy,21,8,2023
16,Texas A&M–Corpus Christi,Southland,23,10,2023
1,Purdue,Big Ten,29,5,2023
2,Marquette,Big East,28,6,2023
3,Kansas State,Big 12,23,9,2023
4,Tennessee,SEC,23,10,2023
5,Duke,ACC,26,8,2023
6,Kentucky,SEC,21,11,2023
7,Michigan State,Big Ten,19,12,2023
8,Memphis,American,26,8,2023
9,Florida Atlantic,C-USA,31,3,2023
10,USC,Pac–12,22,10,2023
11,Providence,Big East,21,11,2023
12,Oral Roberts,Summit,30,4,2023
13,Louisiana,Sun Belt,26,7,2023
14,Montana State,Big Sky,25,9,2023
15,Vermont,America East,23,10,2023
16,Texas Southern,SWAC,14,20,2023
1,Houston,American,31,3,2023
2,Texas,Big 12,26,8,2023
3,Xavier,Big East,25,9,2023
4,Indiana,Big Ten,22,11,2023
5,Miami (FL),ACC,25,7,2023
6,Iowa State,Big 12,19,13,2023
7,Texas A&M,SEC,25,9,2023
8,Iowa,Big Ten,19,13,2023
9,Auburn,SEC,20,12,2023
10,Penn State,Big Ten,22,13,2023
11,Mississippi State,SEC,21,12,2023
12,Drake,Missouri Valley,27,7,2023
13,Kent State,MAC,28,6,2023
14,Kennesaw State,ASUN,26,8,2023
15,Colgate,Patriot,26,8,2023
16,Northern Kentucky,Horizon,22,12,2023
1,Kansas,Big 12,27,7,2023
2,UCLA,Pac–12,29,5,2023
3,Gonzaga,West Coast,28,5,2023
4,UConn,Big East,25,8,2023
5,Saint Mary's,West Coast,26,7,2023
6,TCU,Big 12,21,12,2023
7,Northwestern,Big Ten,21,11,2023
8,Arkansas,SEC,20,13,2023
9,Illinois,Big Ten,20,12,2023
10,Boise State,Mountain West,24,9,2023
11,Arizona State,Pac–12,22,12,2023
12,VCU,Atlantic 10,27,7,2023
13,Iona,MAAC,27,7,2023
14,Grand Canyon,WAC,24,11,2023
15,UNC Asheville,Big South,27,7,2023
16,Howard,MEAC,22,12,2023
1,UConn,Big East,31,3,2024
2,Iowa State,Big 12,27,7,2024
3,Illinois,Big Ten,26,8,2024
4,Auburn,SEC,27,7,2024
5,San Diego State,Mountain West,24,10,2024
6,BYU,Big 12,23,10,2024
7,Washington State,Pac-12,24,9,2024
8,Florida Atlantic,American,25,8,2024
9,Northwestern,Big Ten,21,11,2024
10,Drake,Missouri Valley,28,6,2024
11,Duquesne,Atlantic 10,24,11,2024
12,UAB,American,23,11,2024
13,Yale,Ivy,22,9,2024
14,Morehead State,Ohio Valley,26,8,2024
15,South Dakota State,Summit,22,12,2024
16,Stetson,ASUN,22,12,2024
1,North Carolina,ACC,27,7,2024
2,Arizona,Pac-12,25,8,2024
3,Baylor,Big 12,23,10,2024
4,Alabama,SEC,21,11,2024
5,Saint Mary's,WCC,26,7,2024
6,Clemson,ACC,21,11,2024
7,Dayton,Atlantic 10,26,7,2024
8,Mississippi State,SEC,21,13,2024
9,Michigan State,Big Ten,19,14,2024
10,Nevada,Mountain West,26,7,2024
11,New Mexico,Mountain West,26,9,2024
12,Grand Canyon,WAC,29,4,2024
13,Charleston,CAA,27,7,2024
14,Colgate,Patriot,25,9,2024
15,Long Beach State,Big West,21,14,2024
16,Howard,MEAC,18,16,2024
1,Houston,Big 12,30,4,2024
2,Marquette,Big East,25,9,2024
3,Kentucky,SEC,23,9,2024
4,Duke,ACC,24,8,2024
5,Wisconsin,Big Ten,22,13,2024
6,Texas Tech,Big 12,23,10,2024
7,Florida,SEC,24,11,2024
8,Nebraska,Big Ten,23,10,2024
9,Texas A&M,SEC,20,14,2024
10,Boise State,Mountain West,22,10,2024
11,NC State,ACC,22,14,2024
12,James Madison,Sun Belt,31,3,2024
13,Vermont,America East,28,6,2024
14,Oakland,Horizon,23,11,2024
15,Western Kentucky,C-USA,22,11,2024
16,Longwood,Big South,21,13,2024
1,Purdue,Big Ten,29,4,2024
2,Tennessee,SEC,24,8,2024
3,Creighton,Big East,23,9,2024
4,Kansas,Big 12,22,10,2024
5,Gonzaga,West Coast,25,7,2024
6,South Carolina,SEC,26,7,2024
7,Texas,Big 12,20,12,2024
8,Utah State,Mountain West,27,6,2024
9,TCU,Big 12,21,12,2024
10,Virginia,ACC,23,10,2024
11,Oregon,Pac-12,23,11,2024
12,McNeese,Southland,30,3,2024
13,Samford,Southern,29,5,2024
14,Akron,MAC,24,10,2024
15,Saint Peter's,MAAC,19,13,2024
16,Montana State,Big Sky,17,17,2024
